iter	Passed	Remaining
0	144	144299
1	146	72945
2	147	48891
3	148	37018
4	150	29856
5	151	25093
6	152	21685
7	154	19182
8	157	17320
9	159	15829
10	161	14518
11	162	13413
12	164	12473
13	165	11665
14	166	10965
15	168	10349
16	169	9807
17	171	9330
18	172	8907
19	174	8527
20	175	8183
21	177	7872
22	178	7579
23	179	7310
24	181	7061
25	182	6830
26	183	6616
27	185	6427
28	186	6244
29	187	6078
30	189	5925
31	191	5780
32	192	5639
33	193	5505
34	195	5379
35	196	5260
36	197	5145
37	198	5032
38	200	4935
39	201	4838
40	202	4736
41	203	4650
42	205	4568
43	206	4496
44	208	4427
45	209	4354
46	211	4285
47	212	4217
48	214	4158
49	215	4097
50	216	4036
51	218	3978
52	219	3922
53	220	3869
54	222	3818
55	223	3772
56	225	3724
57	226	3677
58	227	3633
59	230	3610
60	232	3573
61	234	3555
62	241	3589
63	245	3593
64	248	3567
65	249	3529
66	250	3492
67	252	3459
68	253	3424
69	255	3391
70	256	3357
71	257	3325
72	259	3292
73	260	3258
74	261	3227
75	262	3194
76	264	3165
77	265	3138
78	266	3111
79	268	3086
80	269	3060
81	271	3034
82	272	3010
83	273	2984
84	275	2960
85	276	2937
86	277	2914
87	279	2893
88	280	2872
89	282	2852
90	283	2832
91	285	2813
92	286	2794
93	288	2776
94	289	2756
95	290	2738
96	292	2720
97	293	2703
98	295	2685
99	296	2669
100	298	2652
101	299	2637
102	301	2623
103	303	2610
104	304	2594
105	305	2578
106	307	2562
107	308	2544
108	309	2528
109	310	2513
110	311	2498
111	313	2483
112	314	2468
113	317	2467
114	319	2456
115	320	2442
116	321	2428
117	323	2415
118	324	2401
119	325	2387
120	326	2374
121	328	2361
122	329	2348
123	330	2336
124	332	2328
125	334	2318
126	335	2307
127	337	2296
128	338	2285
129	340	2275
130	341	2266
131	343	2256
132	344	2245
133	345	2235
134	347	2227
135	349	2218
136	350	2208
137	352	2198
138	353	2188
139	354	2178
140	355	2167
141	357	2157
142	358	2147
143	359	2137
144	360	2128
145	362	2120
146	363	2111
147	365	2103
148	366	2094
149	367	2085
150	369	2076
151	370	2067
152	371	2058
153	373	2049
154	374	2041
155	375	2034
156	377	2026
157	379	2020
158	380	2012
159	381	2004
160	383	1996
161	384	1988
162	385	1980
163	387	1973
164	388	1965
165	389	1957
166	390	1950
167	392	1943
168	393	1935
169	395	1929
170	396	1922
171	397	1915
172	398	1906
173	400	1899
174	401	1892
175	402	1885
176	404	1878
177	405	1871
178	406	1865
179	407	1858
180	409	1851
181	410	1845
182	412	1840
183	413	1834
184	415	1828
185	416	1822
186	417	1814
187	418	1808
188	420	1802
189	421	1796
190	422	1790
191	424	1784
192	425	1780
193	427	1776
194	429	1771
195	430	1765
196	431	1759
197	433	1754
198	434	1748
199	435	1742
200	437	1737
201	437	1730
202	439	1724
203	440	1719
204	442	1714
205	443	1709
206	444	1704
207	446	1699
208	447	1693
209	448	1689
210	450	1683
211	451	1678
212	452	1673
213	454	1667
214	455	1662
215	456	1658
216	458	1653
217	459	1648
218	460	1642
219	462	1638
220	463	1633
221	464	1628
222	466	1623
223	467	1618
224	468	1612
225	469	1607
226	470	1602
227	471	1597
228	473	1593
229	474	1589
230	476	1585
231	477	1581
232	478	1576
233	480	1572
234	481	1568
235	483	1563
236	484	1559
237	485	1554
238	486	1550
239	488	1546
240	489	1542
241	491	1538
242	492	1534
243	493	1529
244	495	1525
245	496	1521
246	497	1517
247	498	1513
248	500	1508
249	501	1504
250	502	1500
251	504	1498
252	508	1502
253	511	1502
254	513	1499
255	514	1495
256	515	1491
257	517	1487
258	518	1484
259	519	1478
260	521	1475
261	522	1471
262	523	1468
263	525	1464
264	526	1460
265	528	1457
266	529	1453
267	530	1450
268	532	1446
269	533	1442
270	534	1438
271	537	1437
272	538	1434
273	540	1431
274	541	1427
275	543	1424
276	544	1421
277	545	1417
278	546	1412
279	547	1409
280	549	1405
281	550	1401
282	551	1398
283	553	1394
284	554	1391
285	556	1388
286	557	1385
287	558	1381
288	560	1378
289	561	1374
290	562	1371
291	563	1367
292	565	1364
293	566	1361
294	568	1358
295	569	1355
296	571	1352
297	572	1348
298	573	1345
299	575	1342
300	576	1339
301	577	1335
302	579	1332
303	587	1346
304	589	1342
305	590	1339
306	591	1336
307	593	1332
308	598	1338
309	600	1337
310	602	1334
311	604	1332
312	605	1328
313	606	1325
314	610	1328
315	612	1326
316	614	1323
317	617	1323
318	621	1327
319	625	1328
320	626	1325
321	628	1323
322	630	1320
323	632	1320
324	634	1317
325	635	1314
326	637	1311
327	638	1308
328	640	1306
329	641	1303
330	643	1300
331	644	1297
332	646	1294
333	647	1291
334	649	1288
335	650	1285
336	651	1282
337	653	1279
338	654	1276
339	656	1274
340	657	1271
341	659	1268
342	660	1265
343	661	1261
344	663	1259
345	665	1257
346	666	1254
347	667	1251
348	669	1248
349	670	1245
350	671	1242
351	672	1238
352	674	1235
353	675	1232
354	676	1229
355	678	1226
356	679	1224
357	681	1221
358	682	1218
359	683	1215
360	685	1212
361	686	1209
362	687	1206
363	689	1203
364	690	1201
365	691	1198
366	693	1195
367	694	1192
368	696	1190
369	697	1187
370	698	1184
371	700	1181
372	701	1179
373	702	1176
374	704	1173
375	705	1170
376	706	1167
377	707	1164
378	709	1162
379	710	1159
380	712	1157
381	713	1154
382	714	1151
383	716	1148
384	717	1146
385	718	1143
386	720	1140
387	721	1138
388	722	1135
389	724	1132
390	726	1132
391	728	1130
392	729	1126
393	731	1124
394	732	1122
395	733	1118
396	734	1116
397	736	1113
398	737	1110
399	738	1108
400	740	1105
401	741	1103
402	743	1101
403	744	1099
404	746	1096
405	748	1094
406	749	1092
407	750	1089
408	752	1087
409	754	1085
410	756	1083
411	758	1082
412	760	1081
413	762	1078
414	763	1076
415	766	1076
416	767	1073
417	769	1071
418	771	1069
419	772	1066
420	774	1065
421	776	1064
422	778	1061
423	780	1059
424	781	1057
425	783	1055
426	784	1052
427	786	1050
428	787	1048
429	788	1045
430	790	1043
431	792	1041
432	793	1039
433	795	1036
434	796	1034
435	797	1031
436	799	1029
437	800	1027
438	802	1025
439	803	1022
440	805	1020
441	806	1018
442	808	1017
443	810	1014
444	811	1012
445	813	1010
446	814	1008
447	816	1005
448	817	1003
449	818	1000
450	820	998
451	821	996
452	823	993
453	824	991
454	825	989
455	827	986
456	828	984
457	830	982
458	831	979
459	832	977
460	834	975
461	835	972
462	836	970
463	838	968
464	839	965
465	841	963
466	842	961
467	844	959
468	845	957
469	846	954
470	848	952
471	849	950
472	850	947
473	852	945
474	853	943
475	854	940
476	856	938
477	857	936
478	859	934
479	861	933
480	862	930
481	864	928
482	865	926
483	866	924
484	868	922
485	870	920
486	871	918
487	873	916
488	874	914
489	876	912
490	877	909
491	878	907
492	880	905
493	881	903
494	883	901
495	885	900
496	887	898
497	888	895
498	890	893
499	891	891
500	892	889
501	894	887
502	895	885
503	897	882
504	898	880
505	899	877
506	900	875
507	903	874
508	904	872
509	906	870
510	907	868
511	909	866
512	910	864
513	911	862
514	913	859
515	914	857
516	920	859
517	921	857
518	923	855
519	924	853
520	926	851
521	927	849
522	928	847
523	930	844
524	931	843
525	934	842
526	936	840
527	937	838
528	938	836
529	940	833
530	941	831
531	943	829
532	944	827
533	945	825
534	948	824
535	950	822
536	952	821
537	953	819
538	955	817
539	956	814
540	958	812
541	959	810
542	960	808
543	962	806
544	963	804
545	965	802
546	966	800
547	968	798
548	969	796
549	971	794
550	972	792
551	974	790
552	975	788
553	978	787
554	981	786
555	983	785
556	985	783
557	986	781
558	987	779
559	989	777
560	990	775
561	992	773
562	994	771
563	996	770
564	997	768
565	999	766
566	1000	763
567	1001	761
568	1002	759
569	1004	757
570	1005	755
571	1006	753
572	1008	751
573	1009	749
574	1010	747
575	1012	745
576	1014	743
577	1015	741
578	1016	739
579	1018	737
580	1019	735
581	1021	733
582	1022	731
583	1024	729
584	1025	727
585	1026	725
586	1028	723
587	1029	721
588	1030	719
589	1032	717
590	1033	715
591	1036	714
592	1037	712
593	1039	710
594	1040	708
595	1041	706
596	1044	705
597	1046	703
598	1047	701
599	1048	699
600	1050	697
601	1051	695
602	1052	693
603	1053	691
604	1055	688
605	1056	686
606	1057	684
607	1059	682
608	1060	680
609	1061	678
610	1063	677
611	1064	674
612	1067	673
