,Feature,VIF
0,x0,163297.4297733084
1,x1,12355.923954141344
2,x2,52800.79614545941
3,x3,
4,x4,231939.0271710381
5,x5,218407.21953110705
6,x6,37672.628102304334
7,x7,35196.55487365071
8,x8,158478.79274071215
9,x9,411059.28196543
10,x10,329047.6157685071
11,x11,86617.13851958119
12,x12,28982.80279598145
13,x13,65.68210827038698
14,x14,18.158542988657306
15,x15,154037.7178866952
16,x16,11.618634981785059
17,x17,1258.0450316296617
18,x18,973.998991698318
19,x19,999.5123717926472
20,x20,318.48539575126
21,x21,514248.2273628136
22,x22,2071816.7086177862
23,x23,114326.93514386691
24,x24,54.88145756980911
25,x25,207.8535177585653
26,x26,77.16370018287574
27,x27,27.286984862934602
28,x28,5.4880862471256435
29,x29,2774.1277704524905
30,x30,1457.3586460511792
31,x31,39.62365781469437
32,x32,151.56376784016481
33,x33,43.436148306762426
34,x34,313.57738807420805
35,x35,1289.0123543202617
36,x36,6403.5935328242695
37,x37,54.9065878811011
38,x38,1064.3096291330319
39,x39,130.04840830815348
40,x40,29399.530465983564
41,x41,10705.243135410235
42,x42,1183.18056264454
43,x43,831.1828073354312
44,x44,30945.118290914725
45,x45,4697.500788014843
46,x46,11660.360448334373
47,x47,5984.850406282526
48,x48,760.6628107813699
49,x49,
50,x50,295.85076829806445
51,x51,652.9427185642262
52,x52,87.93572183270898
53,x53,105.12490060107024
54,x54,205.24452481254676
55,x55,1128.4885746302703
56,x56,781.4050932974981
57,x57,156.107590836257
58,x58,44.259864036991395
59,x59,35118.297215237646
60,x60,34073.914102985254
61,x61,11452.098686297166
62,x62,11666.92278621311
63,x63,19635.941212481805
64,x64,120389.7735050458
65,x65,120535.79594061644
66,x66,4306.063987902581
67,x67,3524.3434557203395
68,x68,29909.003865159608
69,x69,8152.724721336052
70,x70,5757.678799016546
71,x71,11853.076430737317
72,x72,63531.13414778824
73,x73,56519.88809484586
74,x74,11702.360910105699
75,x75,8103.828676473014
76,x76,499.93278404228033
77,x77,389.8414257554584
78,x78,1831.1988818268057
79,x79,4736.779247636712
80,x80,6586.230807094331
81,x81,3345.3674665231542
82,x82,500.1439407527421
83,x83,658.1136063767581
84,x84,550.6555403901399
85,x85,1888.9858501619383
86,x86,4760.059058574997
87,x87,10062.956555354993
88,x88,430.266492994831
89,x89,18598.195151686505
90,x90,66252.13375734084
91,x91,113433.88637113932
92,x92,13569.148576220276
93,x93,1747.9574811794982
94,x94,23351.724365520375
95,x95,85097.01198753277
96,x96,99381.10911359446
97,x97,6632.889077372221
98,x98,56107.54909459952
99,x99,36486.851165751264
100,x100,5323.451284976823
101,x101,864.3046761762693
102,x102,721.7558845744904
103,x103,329.055498076457
