iter	RMSE
0	106785.224
1	102039.9404
2	97871.5391
3	94407.63906
4	91318.95203
5	88293.80413
6	85479.21721
7	83345.70661
8	81494.55271
9	79808.35883
10	78292.70463
11	76983.27442
12	75410.84079
13	73923.81916
14	73043.88424
15	71726.39787
16	71006.16951
17	70391.96683
18	69121.90484
19	67998.93022
20	67205.84891
21	66496.69119
22	65541.0993
23	64920.95369
24	64245.42214
25	63758.94842
26	63342.04514
27	62947.64677
28	62241.12714
29	61854.10635
30	61442.61728
31	61022.70541
32	60624.39127
33	60117.77979
34	59645.13089
35	59354.44986
36	59107.67523
37	58691.49793
38	58351.87067
39	58189.36228
40	57870.42986
41	57603.54013
42	57108.76529
43	56705.43546
44	56451.92142
45	56225.11759
46	56017.98855
47	55817.03038
48	55440.71564
49	55270.03182
50	55058.65256
51	54796.82632
52	54623.78974
53	54154.5497
54	53974.68942
55	53752.56955
56	53596.00293
57	53470.72762
58	53305.93299
59	53116.90564
60	52969.5948
61	52843.55327
62	52641.0394
63	52483.93758
64	52276.56482
65	52181.79587
66	52025.96334
67	51827.60271
68	51689.34932
69	51547.37607
70	51436.71135
71	51322.4083
72	51207.04484
73	51107.22043
74	51024.11651
75	50926.23045
76	50818.19927
77	50600.76969
78	50555.16657
79	50458.64741
80	50382.4565
81	50283.94226
82	50164.9264
83	49984.58867
84	49914.03887
85	49799.80249
86	49696.66995
87	49626.69024
88	49536.74517
89	49428.48537
90	49330.7403
91	49248.56764
92	49182.4331
93	49083.76907
94	48922.66869
95	48837.57373
96	48632.37447
97	48524.46627
98	48448.35555
99	48387.37981
100	48311.76228
101	48108.21032
102	48048.05657
103	47933.45473
104	47862.31688
105	47833.76422
106	47721.51376
107	47622.10955
108	47489.22616
109	47405.91656
110	47239.35425
111	47200.44683
112	47135.12342
113	47050.64224
114	46962.26716
115	46797.79129
116	46627.75979
117	46527.70223
118	46469.65594
119	46393.67339
120	46330.03754
121	46256.17182
122	46167.39291
123	46107.76223
124	46076.1038
125	45937.3849
126	45805.90192
127	45756.20385
128	45692.41195
129	45630.48485
