iter	Passed	Remaining
0	2	855
1	4	944
2	7	907
3	9	890
4	11	874
5	13	866
6	16	868
7	18	877
8	21	898
9	23	886
10	26	890
11	28	875
12	30	872
13	33	874
14	36	892
15	38	887
16	41	886
17	43	891
18	46	884
19	48	879
20	50	870
21	52	866
22	55	865
23	57	862
24	59	858
25	62	858
26	64	858
27	67	853
28	69	848
29	71	849
30	74	844
31	76	842
32	78	836
33	80	832
34	82	826
35	85	823
36	87	823
37	90	821
38	92	819
39	94	813
40	96	810
41	99	810
42	101	806
43	104	804
44	106	803
45	109	803
46	111	800
47	114	798
48	116	797
49	119	795
50	121	792
51	123	791
52	126	787
53	128	785
54	130	780
55	132	776
56	134	773
57	136	769
58	139	767
59	141	764
60	144	763
61	146	762
62	149	760
63	151	757
64	153	755
65	156	752
66	159	754
67	161	752
68	165	757
69	168	756
70	171	754
71	174	754
72	177	758
73	181	760
74	183	757
75	186	755
76	188	752
77	191	749
78	193	746
79	195	743
80	198	742
81	200	739
82	202	736
83	205	733
84	208	732
85	211	731
86	214	731
87	216	729
88	219	726
89	221	723
90	223	720
91	226	718
92	228	715
93	231	712
94	234	711
95	236	708
96	238	706
97	240	702
98	243	700
99	245	697
100	248	694
101	250	693
102	254	693
103	256	690
104	258	686
105	260	683
106	262	680
107	265	677
108	268	676
109	270	673
110	273	671
111	275	669
112	277	666
113	280	663
114	282	661
115	285	660
116	288	657
117	290	655
118	293	653
119	296	652
120	298	649
121	301	646
122	303	643
123	305	640
124	308	639
125	311	637
126	314	636
127	317	634
128	319	632
129	323	632
