iter	RMSE
0	94777.19744
1	80881.17369
2	74296.43434
3	68357.29287
4	65009.8504
5	62549.79639
6	59739.10919
7	58360.55846
8	56824.31679
9	55316.16134
10	54305.02521
11	53460.20139
12	52603.06994
13	51699.06915
14	51083.4244
15	50607.70302
16	50017.71956
17	49542.05931
18	49274.23713
19	48820.47887
20	48410.60259
21	48012.87984
22	47700.16964
23	47456.04109
24	47196.62702
25	46809.17051
26	46606.30273
27	46078.14033
28	45905.609
29	45838.86113
30	45547.01127
31	45421.96202
32	45169.35372
33	44942.20031
34	44659.89331
35	44518.94968
36	44367.77739
37	44095.20755
38	43973.62489
39	43769.50206
40	43668.85618
41	43596.50044
42	43396.99999
43	43351.09606
44	43114.44675
45	42895.6725
46	42679.08973
47	42446.22579
48	42357.98653
49	42250.09746
50	42160.07928
51	42007.91314
52	41933.17212
53	41867.30131
54	41766.80311
55	41655.20757
56	41582.67218
57	41460.1589
58	41332.59154
59	41315.50523
60	41291.6239
61	41202.1142
62	41111.35822
63	41014.23035
64	40889.38318
65	40860.09565
66	40639.31143
67	40618.17342
68	40517.86519
69	40390.43104
70	40346.64484
71	40283.03717
72	40181.44051
73	40166.94631
74	40078.06512
75	39821.77704
76	39687.04423
77	39661.82407
78	39611.0437
79	39529.99538
80	39407.64474
81	39339.94191
82	39238.31079
83	39153.07477
84	39046.7637
85	38975.12394
86	38872.60241
87	38769.02802
88	38713.36114
89	38594.00487
90	38495.29423
91	38416.3147
92	38312.34075
93	38280.70641
94	38232.45663
95	38174.12537
96	38041.60849
97	37957.28888
98	37835.87595
99	37791.35202
100	37699.65759
101	37632.52125
102	37589.86747
103	37528.96158
104	37442.68071
105	37347.91013
106	37258.96484
107	37187.95362
108	37149.71484
109	37068.56489
110	37042.4372
111	36946.68947
112	36864.42582
113	36791.47431
114	36703.97253
115	36698.78746
116	36666.41958
117	36603.33162
118	36557.02229
119	36518.34577
120	36452.09472
121	36441.8541
122	36370.06267
123	36260.58505
124	36245.10794
125	36164.44811
126	36081.87159
127	36024.45585
128	35907.15787
129	35828.53404
130	35805.87319
131	35785.43634
132	35733.06965
133	35665.038
134	35624.95667
135	35544.30115
136	35474.44968
137	35385.04424
138	35323.48364
139	35280.01912
140	35205.1808
141	35195.23046
142	35163.28307
143	35101.47785
144	35061.88112
145	35016.19806
146	34978.28042
147	34966.13029
148	34894.6204
149	34837.72747
150	34819.99027
151	34783.94611
152	34719.13775
153	34666.76161
154	34552.44905
155	34525.25657
156	34460.00908
157	34431.96957
158	34401.78885
159	34373.1508
160	34262.62002
161	34229.78392
162	34208.163
163	34167.47737
164	34108.06655
165	34032.46387
166	33976.79131
167	33925.46425
168	33892.91066
169	33835.75006
170	33713.21888
171	33637.48915
172	33604.20464
173	33539.49557
174	33482.54337
175	33433.47874
176	33338.39018
177	33242.19012
178	33165.25919
179	33093.71392
