iter	Passed	Remaining
0	5	905
1	10	892
2	14	858
3	18	829
4	22	794
5	26	771
6	30	757
7	34	741
8	38	728
9	42	716
10	46	711
11	49	698
12	53	692
13	57	687
14	61	681
15	65	670
16	69	664
17	74	673
18	80	683
19	87	699
20	91	693
21	95	685
22	100	683
23	103	675
24	107	667
25	113	669
26	118	668
27	122	662
28	126	658
29	131	657
30	135	650
31	139	645
32	143	639
33	148	636
34	152	632
35	156	626
36	161	622
37	165	616
38	168	609
39	172	603
40	177	600
41	180	594
42	184	587
43	188	582
44	192	577
45	196	571
46	200	567
47	204	562
48	209	559
49	213	554
50	217	549
51	221	544
52	227	544
53	232	541
54	237	539
55	242	536
56	246	531
57	250	526
58	254	522
59	258	516
60	261	510
61	265	506
62	269	501
63	273	496
64	278	492
65	282	488
66	286	483
67	290	479
68	294	474
69	298	469
70	302	464
71	306	460
72	310	455
73	314	450
74	318	446
75	323	442
76	327	438
77	332	434
78	336	430
79	340	425
80	343	419
81	347	414
82	350	410
83	354	404
84	357	399
85	361	394
86	364	389
87	368	385
88	373	381
89	380	380
90	387	378
91	392	375
92	396	370
93	399	365
94	403	360
95	406	355
96	409	350
97	413	345
98	417	341
99	421	336
100	424	331
101	428	327
102	431	322
103	435	318
104	438	313
105	442	308
106	445	303
107	449	299
108	452	294
109	455	290
110	459	285
111	462	281
112	466	276
113	470	272
114	473	267
115	477	263
116	480	258
117	483	254
118	487	249
119	490	245
120	493	240
121	497	236
122	501	232
123	504	227
124	507	223
125	511	219
126	514	214
127	517	210
128	521	206
129	524	201
130	529	198
131	534	194
132	539	190
133	544	186
134	548	182
135	551	178
136	555	174
137	558	170
138	562	165
139	565	161
140	569	157
141	572	153
142	576	149
143	579	144
144	582	140
145	586	136
146	589	132
147	593	128
148	596	124
149	600	120
150	603	115
151	607	111
152	610	107
153	615	103
154	618	99
155	622	95
156	625	91
157	629	87
158	634	83
159	637	79
160	641	75
161	645	71
162	649	67
163	653	63
164	657	59
165	660	55
166	664	51
167	667	47
168	671	43
169	674	39
170	678	35
171	685	31
172	692	28
173	698	24
174	704	20
175	708	16
176	712	12
177	715	8
178	718	4
179	722	0
