trial,model,alpha,r2_score,time_taken,parameters
0,flaml,,-0.9696930702767439,1372.6489942073822,{'model': 'flaml'}
1,ridge,1.5686262180199408,0.02629097661605717,0.03205561637878418,"{'model': 'ridge', 'alpha': 1.5686262180199408}"
2,ridge,8.663099696291603,0.02734298091030052,0.006464242935180664,"{'model': 'ridge', 'alpha': 8.663099696291603}"
3,flaml,,-0.9696930702767439,1351.8792958259583,{'model': 'flaml'}
4,flaml,,-0.9696930702767439,1361.3939085006714,{'model': 'flaml'}
5,ridge,1.8264314223989353,0.02633016614559991,0.021672487258911133,"{'model': 'ridge', 'alpha': 1.8264314223989353}"
6,flaml,,-0.9696930702767439,1381.5040040016174,{'model': 'flaml'}
7,ridge,2.9193791105784386,0.026495491256336767,0.023005008697509766,"{'model': 'ridge', 'alpha': 2.9193791105784386}"
8,ridge,2.9285250388668294,0.02649686916400018,0.003460407257080078,"{'model': 'ridge', 'alpha': 2.9285250388668294}"
9,flaml,,-0.9696930702767439,1381.1684370040894,{'model': 'flaml'}
10,ridge,9.319040521207613,0.027437526154928893,0.032148122787475586,"{'model': 'ridge', 'alpha': 9.319040521207613}"
11,ridge,9.541676994895115,0.027469513620303476,0.010683536529541016,"{'model': 'ridge', 'alpha': 9.541676994895115}"
12,ridge,9.313589780272105,0.027436742364133182,0.009299516677856445,"{'model': 'ridge', 'alpha': 9.313589780272105}"
13,ridge,7.073323758408696,0.027111950568877607,0.006479501724243164,"{'model': 'ridge', 'alpha': 7.073323758408696}"
14,ridge,6.440690238871997,0.027019267029360527,0.008131742477416992,"{'model': 'ridge', 'alpha': 6.440690238871997}"
15,ridge,9.653839935450174,0.027485609056449034,0.00673985481262207,"{'model': 'ridge', 'alpha': 9.653839935450174}"
16,ridge,7.145107694222375,0.027122440237302814,0.006798267364501953,"{'model': 'ridge', 'alpha': 7.145107694222375}"
17,ridge,5.422745999866857,0.026869233256764824,0.008727073669433594,"{'model': 'ridge', 'alpha': 5.422745999866857}"
18,ridge,9.98903695044022,0.027533631611919684,0.0070874691009521484,"{'model': 'ridge', 'alpha': 9.98903695044022}"
19,ridge,8.42669921312372,0.02730879587774826,0.00964808464050293,"{'model': 'ridge', 'alpha': 8.42669921312372}"
20,ridge,9.987673628466926,0.027533436530964406,0.006843090057373047,"{'model': 'ridge', 'alpha': 9.987673628466926}"
21,ridge,7.896875892531452,0.027231965631088095,0.0070722103118896484,"{'model': 'ridge', 'alpha': 7.896875892531452}"
22,ridge,9.959701343155427,0.0275294334825964,0.00800180435180664,"{'model': 'ridge', 'alpha': 9.959701343155427}"
23,ridge,9.960205152156881,0.027529505588745562,0.007001638412475586,"{'model': 'ridge', 'alpha': 9.960205152156881}"
24,ridge,7.9913336649169,0.027245684806170067,0.006027698516845703,"{'model': 'ridge', 'alpha': 7.9913336649169}"
25,ridge,5.271581299099833,0.026846858101618798,0.006016254425048828,"{'model': 'ridge', 'alpha': 5.271581299099833}"
26,flaml,,-0.9696930702767439,1401.1713545322418,{'model': 'flaml'}
27,ridge,8.697273629462874,0.02734791780776702,0.0387570858001709,"{'model': 'ridge', 'alpha': 8.697273629462874}"
28,ridge,0.14127175402090586,0.02607266230944072,0.006566524505615234,"{'model': 'ridge', 'alpha': 0.14127175402090586}"
29,flaml,,-0.9696930702767439,1407.5915138721466,{'model': 'flaml'}
30,ridge,9.978104648243692,0.027532067228449475,0.036751508712768555,"{'model': 'ridge', 'alpha': 9.978104648243692}"
31,ridge,9.908900509031001,0.027522161405765133,0.009559154510498047,"{'model': 'ridge', 'alpha': 9.908900509031001}"
