iter	RMSE
0	8.978913994
1	8.804185412
2	8.649948873
3	8.479166483
4	8.3152459735	8.194248918
66	8.03233241277	7.8842468348	7.780340424
9	7.644965044
10	7.528265066
11	7.40766534
12	7.298372447
13	7.185662095
14	7.07525035
15	6.970721669
16	6.873086729
17	6.776226607
18	6.692506978
19	6.602214276
20	6.513286823
21	6.430487791
22	6.350065327
23	6.277083519
24	6.207071803
25	6.143687395
26	6.077850746
27	6.008824438
28	5.942452504
29	5.891060037
30	5.83094122
31	5.771616585
32	5.721675805
33	5.67538517
34	5.622689111
35	5.584756652
36	5.541697532
37	5.496480452
38	5.450839639
39	5.411621122
40	5.376604387
41	5.338036509
42	5.303976088
43	5.268046091
44	5.232385364
45	5.195462429
46	5.165309344
47	5.134389217
48	5.104100969
49	5.076177543
50	5.048872713
51	5.02667469
52	4.997848182
53	4.97307422
54	4.944503761
55	4.921277712
56	4.896299158
57	4.876394323
58	4.859436678
59	4.841758894
60	4.823535664
61	4.811514365
62	4.794636672
63	4.776233411
64	4.76043007
65	4.745361623
66	4.729142878
67	4.713350547
68	4.698207385
69	4.68309272
70	4.67107682
71	4.65809175
72	4.64123435
73	4.625601785
74	4.615247069
75	4.600371792
76	4.589379284
77	4.579037037
78	4.571656679
79	4.562537437
80	4.553100042
81	4.542165069
82	4.532907057
83	4.518620026
84	4.51028932
85	4.498542335
86	4.491883344
87	4.482741664
88	4.474488211
89	4.461325971
90	4.454505169
91	4.450292111
92	4.444309697
93	4.434995373
94	4.427279964
95	4.419128642
96	4.411259167
97	4.401855127
98	4.396830186
99	4.388705782
100	4.384197315
101	4.379794753
102	4.3724925
103	4.365494919
104	4.356933858
105	4.351751796
106	4.346053906
107	4.33645609
108	4.331207507
109	4.324903649
110	4.318115179
111	4.313981893
112	4.305380361
113	4.29959006
114	4.292207068
115	4.286179567
116	4.280652101
117	4.275300336
118	4.266715211
119	4.261214652
120	4.25120	4.063452097
121	4.058395682
122	4.051873517
123	4.046952129
124	4.041551353
125	4.038058592
126	4.032681057
127	4.027771626
128	4.0223984
129	4.018963569
130	4.015332121
131	4.00920281
132	4.004795141
133	3.999832951
134	3.995949221
135	3.989883169
136	3.983048612
137	3.979478813
138	3.971204602
139	3.96493453
140	3.961912175
141	3.958022891
142	3.951018178
143	3.946511483
144	3.938460473
145	3.93488499
146	3.929793044
147	3.926250687
148	3.923296346
149	3.921065494
150	3.915019314
151	3.910434842
152	3.906885258
153	3.903015622
154	3.898107812
155	3.896631817
156	3.89486376
157	3.890511814
158	3.886545308
159	3.88410242
160	3.87585562
161	3.871214791
162	3.867772863
163	3.864354548
164	3.861147238
165	3.858419177
166	3.855671983
167	3.850494177
168	3.847571861
169	3.841358581
170	3.83559897
171	3.832322905
172	3.829724065
173	3.82814412
174	3.826164037
175	3.819720774
176	3.817830227
177	3.811329909
178	3.807921263
179	3.805279358
180	3.801251436
181	3.798382259
182	3.791869029
183	3.788451913
184	3.785327444
185	3.780788193
186	3.776519896
187	3.772309266
188	3.769269028
189	3.766948483
190	3.762722472
191	3.759075642
192	3.753222624
193	3.74769284
194	3.744390651
195	3.738214827
196	3.734659858
197	3.732082453
198	3.729235243
199	3.727694827
200	3.725636592
201	3.723732815
202	3.72136079
203	3.718949421
204	3.715857162
205	3.710848078
206	3.707575869
207	3.704771326
208	3.702267818
209	3.698697496
210	3.696505675
211	3.693751575
212	3.688815114
213	3.687036037
214	3.684349614
215	3.680121559
216	3.678615649
217	3.67661135
218	3.674108843
219	3.670830731
220	3.665355116
221	3.66306469
222	3.66062786
223	3.658681378
224	3.655653144
225	3.652336434
226	3.649882429
227	3.648015251
228	3.645045447
229	3.642118299
230	3.639054297
231	3.637907392
232	3.635242428
233	3.629095924
234	3.627891255
235	3.625570622
236	3.621594622
237	3.618688636
238	3.61710618
239	3.613892223
240	3.611972052
241	3.610172174
242	3.607378439
243	3.605755841
244	3.603540262
245	3.596443508
246	3.593746539
247	3.59108379
248	3.58904501
249	3.587788874
250	3.585492551
251	3.57833804
252	3.575872147
253	3.57223254	3254	3.57014255	3255	3.56847256	3256	3.56685257	3.735869721
258	3.733660993
259	3.730539841
260	3.72835811
261	3.725666565
262	3.724738729
263	3.722679634
264	3.721717618
265	3.719552628
266	3.713368022
267	3.711284596
268	3.708852143
269	3.706378527
270	3.704165021
271	3.702923709
272	3.702053184
273	3.700991532
274	3.695120962
275	3.693489085
276	3.688610931
277	3.684655202
278	3.679583172
279	3.678008744
280	3.675006391
281	3.673294267
282	3.671161402
283	3.66572405
284	3.662872514
285	3.66012469
286	3.656975374
287	3.655177377
288	3.652876284
289	3.650897992
290	3.648189563
291	3.641531266
292	3.637500916
293	3.636038512
294	3.635294108
295	3.634279399
296	3.632024562
297	3.628274557
298	3.626509858
299	3.624116867
300	3.620778811
301	3.619248478
302	3.61248928
303	3.610842924
304	3.604806254
305	3.602435759
306	3.600370521
307	3.597581406
308	3.592000066
309	3.587324159
310	3.586623512
311	3.584117213
312	3.582300429
313	3.579335463
314	3.577690388
315	3.572258684
316	3.569591342
317	3.567040126
318	3.564730549
319	3.560719808
320	3.557942241
321	3.554432936
322	3.5473781
323	3.542572233
324	3.538045179
325	3.536763727
326	3.532914095
327	3.530499659
328	3.526938051
329	3.519438981
330	3.517173918
331	3.515368268
332	3.511261626
333	3.509006404
334	3.508059768
335	3.503801273
336	3.502893384
337	3.498768238
338	3.497927042
339	3.492575334
340	3.489860268
341	3.485609983
342	3.484668293
343	3.483759511
344	3.483107131
345	3.47962411
346	3.478896515
347	3.478065226
348	3.471214989
349	3.468536879
350	3.465774961
351	3.460176084
352	3.456655491
353	3.453185385
354	3.45018584
355	3.447246732
356	3.442965718
357	3.437987893
358	3.436352999
359	3.435088676
360	3.428402542
361	3.424159307
362	3.421477889
363	3.417814517
364	3.415402814
365	3.41335617
366	3.407425293
367	3.406613297
368	3.405436104
369	3.404694723
370	3.402286869
371	3.400272145
372	3.394998236
373	3.392415562
374	3.390033639
375	3.387722541
376	3.38705474
377	3.386283144
378	3.380097328
379	3.378931006
380	3.378328194
381	3.377564514
382	3.376441352
383	3.374952681
384	3.370788758
385	3.366933019
386	3.362087762
387	3.358886577
388	3.354111947
389	3.350464479
390	3.344274248
391	3.342258139
392	3.340086698
393	3.339419069
394	3.338351752
395	3.335436521
396	3.33301452
397	3.329642204
398	3.327543268
399	3.321957567
400	3.32044504
401	3.319816152
402	3.318009595
403	3.312635534
404	3.309733265
405	3.304622602
406	3.30400107
407	3.300703829
408	3.295998373
409	3.293150702
410	3.292548812
411	3.28931119
412	3.285170923
413	3.282668915
414	3.277447235
415	3.276364643
416	3.268206559
417	3.261853472
418	3.258200604
419	3.253114246
420	3.252479742
421	3.249770614
422	3.246206823
423	3.243303014
424	3.238879259
425	3.23719368
426	3.23525019
427	3.229403769
428	3.225788121
429	3.223143267
430	3.219607969
431	3.217490655
432	3.212506292
433	3.211821183
434	3.209727683
435	3.205255349
436	3.204673241
437	3.203685482
438	3.199412746
439	3.1937837
440	3.192785053
441	3.19042565
442	3.185773535
443	3.185156257
444	3.18237895
445	3.179673435
446	3.176902018
447	3.17253607
448	3.170540136
449	3.165332435
450	3.164675285
451	3.160832416
452	3.157060023
453	3.154661757
454	3.151887587
455	3.150283859
456	3.148411189
457	3.146644967
458	3.144473845
459	3.142786489
460	3.141125298
461	3.140363666
462	3.138600921
463	3.136911525
464	3.13365109
465	3.130627091
466	3.128291526
467	3.127132785
468	3.126511576
469	3.125797689
470	3.124579334
471	3.122952223
472	3.120304532
473	3.119509795
474	3.115488441
475	3.114017978
476	3.110203865
477	3.109792867
478	3.108286736
479	3.106310647
480	3.105324572
481	3.103411999
482	3.100786391
483	3.097290948
484	3.096609603
485	3.093643409
486	3.093092515
487	3.088235679
488	3.086996608
489	3.086175627
490	3.083256732
491	3.077837446
492	3.077154388
493	3.076270697
494	3.075736205
495	3.074397767
496	3.071584128
497	3.070631077
498	3.067652559
499	3.06475261
500	3.062247671
501	3.058837642
502	3.058291788
503	3.057299946
504	3.056449246
505	3.053377724
506	3.052175287
507	3.047554362
508	3.047010968
509	3.046345208
510	3.042822438
511	3.039275043
512	3.036735465
513	3.03247654
514	3.02773118
515	3.026839995
516	3.023982707
517	3.023172598
518	3.022431345
519	3.021743871
520	3.019367297
521	3.016146482
522	3.013532912
523	3.012813752
524	3.00628739
525	3.005915719
526	3.005290535
527	3.004765623
528	3.002472418
529	2.998866878
530	2.998180656
531	2.995731652
532	2.994473411
533	2.993841719
534	2.993385629
535	2.992398149
536	2.990170437
537	2.987588793
538	2.984278545
539	2.981870897
540	2.977607297
541	2.976314839
542	2.973544513
543	2.970521135
544	2.969195396
545	2.965294828
546	2.96300135
547	2.960625704
548	2.959856894
549	2.957614217
550	2.956898383
551	2.953400931
552	2.950736498
553	2.949786005
554	2.948578607
555	2.947825275
556	2.945530883
557	2.944822936
558	2.942676156
559	2.942206498
560	2.938309136
561	2.935988788
562	2.935488024
563	2.933798796
564	2.929460906
565	2.926706691
566	2.925474557
567	2.921701122
568	2.919644595
569	2.916979573
570	2.9159662
571	2.91347467
572	2.912968793
573	2.912290144
574	2.908102819
575	2.906828614
576	2.902980917
577	2.902647067
578	2.901586986
579	2.898218194
580	2.896245108
581	2.894412279
582	2.890645301
583	2.88604542
584	2.885414173
585	2.881195837
586	2.879512534
587	2.875910513
588	2.872336481
589	2.86833013
590	2.864202963
591	2.861464825
592	2.859204766
593	2.858239638
594	2.855682876
595	2.855210917
596	2.85395334
597	2.851326767
598	2.848818602
599	2.847943634
600	2.84402783
601	2.843485077
602	2.840976028
603	2.840396544
604	2.836020604
605	2.835120343
606	2.832879962
607	2.830683254
608	2.830170878
609	2.828807321
610	2.827715823
611	2.826698394
612	2.826155483
613	2.825200815
614	2.822610839
615	2.820405219
616	2.819378659
617	2.816617091
618	2.814854466
619	2.813518201
620	2.812409485
621	2.809348285
622	2.80893364
623	2.808278408
624	2.80645088
625	2.803526569
626	2.801574304
627	2.801228988
628	2.796704826
629	2.795836107
630	2.795433505
631	2.794452201
632	2.790104764
633	2.787592337
634	2.785410437
635	2.783400534
636	2.778940927
637	2.777157007
638	2.774964462
639	2.773230346
640	2.771198764
641	2.769202817
642	2.768858664
643	2.766363115
644	2.764334877
645	2.762570923
646	2.759075473
647	2.758555957
648	2.757706528
649	2.757181888
650	2.755721919
651	2.751743026
652	2.751210159
653	2.75018411
654	2.749591514
655	2.744662743
