Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Light Gradient Boosting Machine,3.606,25.6855,4.994,0.6669,0.2099,0.1736,0.063
K Neighbors Regressor,3.8154,27.1636,5.1276,0.6536,0.2234,0.1856,0.037
AdaBoost Regressor,3.8636,27.9825,5.2095,0.6393,0.2225,0.194,0.05
Gradient Boosting Regressor,3.6338,28.5363,5.2739,0.6307,0.2182,0.1737,0.05
Random Forest Regressor,3.7148,28.5993,5.2691,0.6285,0.2243,0.1804,0.075
Extra Trees Regressor,3.8123,29.6073,5.3713,0.6241,0.2264,0.1836,0.065
Linear Regression,4.3642,35.8204,5.8882,0.5605,0.3227,0.2086,0.988
Least Angle Regression,4.3642,35.8204,5.8882,0.5605,0.3227,0.2086,0.043
Ridge Regression,4.3654,35.8332,5.8892,0.5604,0.3226,0.2086,0.037
Bayesian Ridge,4.361,35.8435,5.8901,0.5604,0.3201,0.2082,0.031
Lasso Regression,4.4032,36.9288,5.9709,0.55,0.3101,0.2082,0.536
Lasso Least Angle Regression,4.4032,36.9287,5.9709,0.55,0.3101,0.2082,0.032
Elastic Net,4.4432,37.3065,5.9947,0.5468,0.3106,0.2103,0.049
Huber Regressor,4.1147,37.7938,6.0047,0.5466,0.3012,0.1843,0.033
Extreme Gradient Boosting,4.2473,36.7089,5.9851,0.5316,0.2465,0.2025,0.094
CatBoost Regressor,3.1357,25.0517,4.4573,0.4779,0.189,0.1497,0.415
Decision Tree Regressor,4.8848,47.3492,6.7451,0.385,0.2878,0.2405,0.03
Orthogonal Matching Pursuit,5.0771,50.4745,6.9912,0.3667,0.3353,0.2539,0.03
Dummy Regressor,6.717,86.4359,9.194,-0.0478,0.3946,0.3689,0.051
Passive Aggressive Regressor,8.0003,126.1407,10.2535,-0.8119,0.4358,0.4528,0.03
