iter	Passed	Remaining
0	10	6618
1	18	5808
2	27	5575
3	34	5350
4	42	5272
5	50	5188
6	58	5159
7	66	5118
8	74	5099
9	82	5060
10	92	5134
11	103	5266
12	114	5353
13	127	5527
14	133	5389
15	144	5458
16	154	5488
17	164	5506
18	172	5469
19	180	5433
20	188	5394
21	197	5385
22	205	5352
23	213	5317
24	221	5281
25	229	5261
26	237	5229
27	245	5206
28	253	5177
29	261	5158
30	269	5132
31	278	5131
32	286	5110
33	294	5090
34	302	5068
35	311	5059
36	320	5065
37	330	5066
38	339	5065
39	348	5060
40	356	5049
41	365	5033
42	373	5017
43	381	4999
44	390	4994
45	398	4976
46	406	4962
47	415	4960
48	423	4948
49	431	4932
50	439	4917
51	447	4901
52	456	4888
53	463	4871
54	472	4858
55	479	4842
56	488	4828
57	495	4812
58	503	4798
59	511	4781
60	519	4767
61	527	4752
62	535	4740
63	542	4724
64	551	4717
65	560	4712
66	569	4704
67	577	4698
68	586	4688
69	593	4673
70	601	4662
71	609	4647
72	617	4638
73	625	4625
74	633	4615
75	641	4600
76	650	4594
77	658	4586
78	667	4580
79	675	4568
80	683	4559
81	692	4551
82	700	4540
83	708	4529
84	716	4517
85	724	4506
86	732	4496
87	740	4484
88	748	4473
89	756	4462
90	764	4451
91	772	4440
92	780	4431
93	788	4419
94	797	4413
95	805	4404
96	813	4395
97	821	4384
98	830	4378
99	838	4366
100	846	4355
101	854	4345
102	861	4334
103	869	4324
104	878	4315
105	885	4304
106	893	4293
107	901	4282
108	909	4272
109	917	4262
110	925	4251
111	933	4241
112	941	4230
113	949	4222
114	957	4213
115	966	4206
116	974	4198
117	982	4188
118	990	4178
119	998	4167
120	1006	4158
121	1014	4147
122	1022	4138
123	1029	4127
124	1037	4117
125	1045	4106
126	1053	4097
127	1061	4088
128	1069	4080
129	1077	4071
130	1085	4062
131	1093	4052
132	1102	4044
133	1111	4039
134	1119	4030
135	1127	4021
136	1136	4013
137	1143	4003
138	1151	3994
139	1159	3984
140	1167	3975
141	1175	3965
142	1184	3960
143	1193	3953
144	1201	3943
145	1209	3933
146	1216	3924
147	1225	3915
148	1232	3905
149	1241	3897
150	1251	3893
151	1259	3887
152	1268	3880
153	1276	3870
154	1284	3861
155	1292	3852
156	1300	3842
157	1308	3833
158	1315	3823
159	1323	3814
160	1332	3806
161	1339	3796
162	1347	3786
163	1356	3779
164	1364	3770
165	1372	3762
166	1381	3755
167	1390	3749
168	1398	3741
169	1406	3732
170	1415	3724
171	1422	3714
172	1431	3708
173	1440	3699
174	1448	3690
175	1455	3680
176	1463	3672
177	1471	3662
178	1479	3653
179	1487	3644
180	1495	3635
181	1503	3627
182	1512	3619
183	1521	3613
184	1530	3608
185	1540	3602
186	1548	3594
187	1556	3585
188	1565	3578
189	1573	3568
190	1581	3560
191	1588	3550
192	1597	3541
193	1604	3532
194	1613	3523
195	1620	3514
196	1629	3506
197	1636	3496
198	1645	3488
199	1653	3479
200	1662	3473
201	1670	3464
202	1678	3455
203	1686	3446
204	1695	3440
205	1703	3432
206	1712	3424
207	1720	3416
208	1729	3408
209	1737	3399
210	1745	3391
211	1753	3382
212	1761	3374
213	1769	3364
214	1777	3356
215	1785	3347
216	1793	3338
217	1801	3330
218	1809	3322
219	1817	3312
220	1825	3304
221	1833	3296
222	1841	3287
223	1849	3278
224	1857	3269
225	1865	3261
226	1874	3252
227	1882	3244
228	1890	3236
229	1898	3227
230	1906	3218
231	1914	3209
232	1922	3200
233	1929	3191
234	1937	3183
235	1947	3176
236	1955	3167
237	1963	3159
238	1971	3150
239	1979	3142
240	1987	3133
241	1995	3124
242	2003	3116
243	2011	3107
244	2019	3098
245	2027	3090
246	2035	3082
247	2043	3074
248	2052	3065
249	2061	3058
250	2070	3051
251	2079	3045
252	2088	3038
253	2098	3031
254	2106	3023
255	2115	3016
256	2124	3009
257	2132	3001
258	2141	2993
259	2149	2984
260	2158	2977
261	2166	2969
262	2175	2961
263	2184	2953
264	2192	2946
265	2201	2938
266	2210	2930
267	2219	2923
268	2228	2915
269	2237	2908
270	2245	2899
271	2254	2892
272	2263	2884
273	2272	2878
274	2281	2870
275	2290	2863
276	2300	2857
277	2308	2848
278	2317	2840
279	2325	2831
280	2333	2823
281	2342	2815
282	2350	2807
283	2360	2800
284	2369	2793
285	2379	2786
286	2390	2781
287	2401	2776
288	2409	2768
289	2419	2761
290	2426	2752
291	2436	2744
292	2443	2735
293	2451	2727
294	2459	2718
295	2468	2709
296	2476	2701
297	2484	2693
298	2492	2684
299	2501	2677
300	2509	2668
301	2518	2660
302	2527	2652
303	2535	2644
304	2544	2635
305	2552	2627
306	2560	2618
307	2568	2610
308	2576	2601
309	2585	2594
310	2593	2585
311	2602	2577
312	2613	2571
313	2623	2565
314	2634	2558
315	2644	2552
316	2654	2545
317	2664	2538
318	2673	2530
319	2683	2523
320	2692	2516
321	2700	2507
322	2708	2498
323	2716	2490
324	2724	2481
325	2732	2472
326	2740	2463
327	2747	2454
328	2756	2446
329	2764	2437
330	2772	2429
331	2781	2421
332	2790	2413
333	2798	2404
334	2806	2395
335	2814	2387
336	2821	2378
337	2830	2369
338	2837	2360
339	2845	2352
340	2854	2343
341	2862	2335
342	2870	2326
343	2879	2318
344	2889	2311
345	2900	2305
346	2914	2301
347	2926	2295
348	2937	2289
349	2947	2282
350	2956	2274
351	2965	2266
352	2974	2258
353	2982	2249
354	2990	2240
355	2998	2231
356	3006	2223
357	3014	2214
358	3022	2205
359	3030	2196
360	3038	2188
361	3046	2179
362	3055	2171
363	3063	2162
364	3071	2154
365	3079	2145
366	3087	2136
367	3095	2127
368	3103	2119
369	3111	2110
370	3119	2101
371	3127	2093
372	3135	2084
373	3143	2076
374	3151	2067
375	3159	2058
376	3167	2050
377	3175	2041
378	3183	2032
379	3191	2024
380	3199	2015
381	3207	2006
382	3215	1997
383	3222	1989
384	3230	1980
385	3238	1971
386	3246	1962
387	3253	1953
388	3261	1945
389	3269	1936
390	3276	1927
391	3284	1918
392	3292	1910
393	3299	1901
394	3307	1892
395	3315	1883
396	3323	1875
397	3333	1867
398	3341	1859
399	3350	1850
400	3358	1842
401	3367	1834
402	3375	1825
403	3383	1817
404	3390	1808
405	3398	1799
406	3406	1791
407	3414	1782
408	3422	1773
409	3430	1765
410	3438	1756
411	3446	1748
412	3454	1739
413	3462	1731
414	3471	1722
415	3478	1714
416	3486	1705
417	3494	1697
418	3502	1688
419	3510	1680
420	3520	1672
421	3528	1664
422	3537	1656
423	3547	1648
424	3556	1640
425	3564	1631
426	3572	1622
427	3580	1614
428	3587	1605
429	3595	1597
430	3604	1589
431	3612	1580
432	3620	1571
433	3628	1563
434	3636	1554
435	3644	1546
436	3651	1537
437	3659	1529
438	3667	1520
439	3675	1512
440	3683	1503
441	3692	1495
442	3701	1487
443	3710	1479
444	3718	1470
445	3727	1462
446	3735	1454
447	3744	1446
448	3752	1437
449	3760	1429
450	3768	1420
451	3776	1411
452	3784	1403
453	3792	1395
454	3800	1386
455	3808	1378
456	3817	1369
457	3825	1361
458	3833	1352
459	3841	1344
460	3849	1336
461	3857	1327
462	3866	1319
463	3874	1310
464	3882	1302
465	3891	1294
466	3898	1285
467	3906	1277
468	3914	1268
469	3922	1260
470	3930	1251
471	3938	1243
472	3945	1234
473	3953	1226
474	3961	1217
475	3969	1209
476	3976	1200
477	3984	1192
478	3992	1183
479	3999	1174
480	4007	1166
481	4016	1158
482	4024	1149
483	4032	1141
