OBJECTID,year,state,st_case,veh_no,a_wrongwaydrv,a_drdis,a_drdro,a_vrd,a_body,a_imp1,a_vroll,a_lic_s,a_lic_c,a_cdl_s,a_mc_l_s,a_spveh,a_sbus,a_mod_yr,a_fire_exp,a_imp2
1,2022,1,10001,1,2,2,2,2,3,3,1,1,1,2,4,2,3,2016,1,
2,2022,1,10001,2,2,2,2,2,3,4,2,1,1,2,4,2,3,2021,1,
3,2022,1,10002,1,1,2,2,2,1,2,2,2,2,2,4,2,3,2019,1,
4,2022,1,10002,2,2,2,2,2,3,2,1,1,1,2,4,2,3,2012,1,
5,2022,1,10003,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2006,1,
6,2022,1,10004,1,2,2,2,1,3,2,2,1,1,2,4,2,3,2015,1,
7,2022,1,10005,1,2,2,2,1,9,2,2,3,3,3,4,2,3,9999,1,
8,2022,1,10006,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2016,1,
9,2022,1,10007,1,2,2,2,2,6,4,2,3,3,3,4,2,3,2022,1,
10,2022,1,10007,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2007,1,
11,2022,1,10008,1,2,2,2,1,2,2,2,1,1,2,4,1,3,2002,1,
12,2022,1,10009,1,2,2,2,2,4,3,2,1,1,2,4,2,3,2013,1,
13,2022,1,10009,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2015,1,
14,2022,1,10010,1,2,2,2,1,6,2,2,2,2,2,4,2,3,2020,1,
15,2022,1,10011,1,2,2,2,1,2,2,1,1,1,2,4,2,3,2019,1,
16,2022,1,10012,1,2,2,2,2,1,2,2,1,1,2,4,2,3,2012,1,
17,2022,1,10012,2,2,2,2,2,1,2,2,2,2,2,4,2,3,2011,1,
18,2022,1,10013,1,2,1,2,1,3,2,2,1,1,2,4,2,3,2017,1,
19,2022,1,10013,2,2,2,2,2,3,2,2,1,1,2,4,2,3,1999,1,
20,2022,1,10014,1,2,2,1,1,1,2,2,1,1,2,4,2,3,2007,1,
21,2022,1,10014,2,2,2,2,2,1,2,2,1,1,2,4,2,3,2019,1,
22,2022,1,10015,1,2,2,2,1,3,2,2,2,2,2,4,1,3,1996,1,
23,2022,1,10016,1,2,2,2,1,1,2,2,1,1,2,4,1,3,2011,1,
24,2022,1,10017,1,2,2,2,1,1,2,1,1,1,2,4,1,3,2006,1,
25,2022,1,10018,1,2,2,2,1,1,2,2,1,1,2,4,2,3,2005,1,
26,2022,1,10019,1,2,2,2,2,3,2,2,1,1,2,4,2,3,2020,1,
27,2022,1,10020,1,2,2,2,1,2,5,1,1,1,2,4,2,3,2005,1,
28,2022,1,10021,1,2,2,2,1,3,2,2,1,1,1,4,1,3,2018,1,
29,2022,1,10022,1,2,2,2,1,2,1,1,1,1,1,4,2,3,2003,1,
30,2022,1,10023,1,2,2,2,2,1,3,2,1,1,2,4,2,3,2006,1,
31,2022,1,10023,2,2,2,2,2,6,2,2,1,1,1,4,2,3,2022,1,
32,2022,1,10024,1,2,2,2,2,3,2,2,2,2,2,4,2,3,2004,1,
33,2022,1,10024,2,2,2,2,2,3,4,2,1,1,2,4,2,3,2017,1,
34,2022,1,10024,3,2,2,2,2,1,4,2,2,2,2,4,2,3,2015,1,
35,2022,1,10025,1,2,2,2,2,3,2,2,1,1,2,4,2,3,1995,1,
36,2022,1,10026,1,2,2,2,2,2,2,2,1,1,2,4,2,3,2004,1,
37,2022,1,10026,2,2,2,2,2,3,2,2,1,1,2,4,2,3,2014,1,
