station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,county_name,sample_count,sample_date_min,sample_date_max
47023,Frank Sieferman,Frank Sieferman New Well,01N01E01A001M,Groundwater,33,-121,Yolo,1,6/23/2008 15:00,6/23/2008 15:00
6134,01N01E33K001M,01N01E33K001M,01N01E33K001M,Groundwater,37.8868,-121.8682,Contra Costa,1,5/20/1981 13:45,5/20/1981 13:45
6135,01N01W03N001M,01N01W03N001M,01N01W03N001M,Groundwater,37.9583,-121.9669,Contra Costa,9,7/23/1974 15:15,8/16/1990 12:15
6136,01N01W04A001M,01N01W04A001M,01N01W04A001M,Groundwater,37.9663,-121.9734,Contra Costa,9,8/4/1972 15:00,9/15/1989 8:00
6137,01N01W07K001M,01N01W07K001M,01N01W07K001M,Groundwater,37.946,-122.0155,Contra Costa,9,8/3/1973 9:30,9/15/1989 9:15
6138,01N01W12K001H,01N01W12K001H,01N01W12K001H,Groundwater,40.4762,-124.1259,Humboldt,1,7/5/1973 0:00,7/5/1973 0:00
6139,01N01W12L001H,01N01W12L001H,01N01W12L001H,Groundwater,40.4762,-124.1307,Humboldt,1,7/5/1973 0:00,7/5/1973 0:00
6140,01N01W29G001M,01N01W29G001M,01N01W29G001M,Groundwater,37.9049,-121.9963,Contra Costa,10,8/4/1972 12:15,8/16/1990 13:30
6141,01N02E01F001M,01N02E01F001M,01N02E01F001M,Groundwater,37.9627,-121.7081,Contra Costa,1,5/1/1979 0:00,5/1/1979 0:00
6143,01N02E03K001M,01N02E03K001M,01N02E03K001M,Groundwater,37.9591,-121.7401,Contra Costa,1,5/1/1979 0:00,5/1/1979 0:00
6144,01N02E13H001M,01N02E13H001M,01N02E13H001M,Groundwater,37.9338,-121.6989,Contra Costa,7,7/19/1974 10:30,7/15/1988 10:30
6145,01N02E23N001M,01N02E23N001M,01N02E23N001M,Groundwater,37.9121,-121.731,Contra Costa,2,5/1/1979 0:00,6/14/1982 15:50
6146,01N02E24M001M,01N02E24M001M,01N02E24M001M,Groundwater,37.9157,-121.7127,Contra Costa,1,6/15/1982 9:30,6/15/1982 9:30
6147,01N02E24R002M,01N02E24R002M,01N02E24R002M,Groundwater,37.9121,-121.6989,Contra Costa,1,6/15/1982 10:15,6/15/1982 10:15
6148,01N02E25F001M,01N02E25F001M,01N02E25F001M,Groundwater,37.9049,-121.7081,Contra Costa,1,5/1/1979 0:00,5/1/1979 0:00
6149,01N02E25G001M,01N02E25G001M,01N02E25G001M,Groundwater,37.9049,-121.7035,Contra Costa,3,11/19/1980 11:50,6/2/1982 12:00
6150,01N02E26H001M,01N02E26H001M,01N02E26H001M,Groundwater,37.9049,-121.7172,Contra Costa,2,11/19/1980 11:15,5/7/1981 15:30
6151,01N02E35F001M,01N02E35F001M,01N02E35F001M,Groundwater,37.8904,-121.7264,Contra Costa,2,11/19/1980 9:45,5/7/1981 13:45
6152,01N02W05A002S,01N02W05A002S,01N02W05A002S,Groundwater,34.2056,-117.1051,San Bernardino,4,5/20/1953 0:00,8/27/1956 0:00
6153,01N02W05D001S,01N02W05D001S,01N02W05D001S,Groundwater,34.2056,-117.1183,San Bernardino,1,8/31/1954 0:00,8/31/1954 0:00
6154,01N02W05D002S,01N02W05D002S,01N02W05D002S,Groundwater,34.2056,-117.1183,San Bernardino,1,8/26/1954 0:00,8/26/1954 0:00
