UserID,Age,Gender,VRHeadset,Duration,MotionSickness,ImmersionLevel
2,43,Female,HTC Vive,19.95081498,2,2
9,56,Female,PlayStation VR,16.85871016,5,1
14,28,Female,PlayStation VR,25.98475653,5,5
16,34,Female,Oculus Rift,44.69653882,1,3
23,38,Female,Oculus Rift,35.34748382,4,5
24,60,Female,Oculus Rift,44.65080288,10,5
26,28,Female,PlayStation VR,26.69485567,9,1
30,59,Female,Oculus Rift,11.51656401,6,3
33,39,Female,PlayStation VR,18.35110287,1,5
36,53,Female,Oculus Rift,45.496148,10,5
39,43,Female,PlayStation VR,6.115949164,10,3
41,30,Female,PlayStation VR,10.31246951,9,4
43,53,Female,HTC Vive,6.417383142,3,2
45,51,Female,PlayStation VR,58.52551423,10,5
47,39,Female,HTC Vive,21.04276136,2,4
48,29,Female,PlayStation VR,14.86667503,6,4
49,37,Female,Oculus Rift,46.19613982,8,5
50,36,Female,Oculus Rift,13.86158009,5,1
51,49,Female,Oculus Rift,16.85072849,2,4
55,38,Female,Oculus Rift,18.42890716,7,1
58,38,Female,Oculus Rift,51.37879756,3,2
67,29,Female,PlayStation VR,13.46784773,8,5
72,49,Female,HTC Vive,8.1117052,4,2
74,35,Female,HTC Vive,50.72528526,7,2
76,42,Female,PlayStation VR,44.96861405,6,4
78,44,Female,Oculus Rift,53.98785148,7,1
79,36,Female,PlayStation VR,32.97738405,5,2
80,28,Female,PlayStation VR,51.64397275,9,5
83,26,Female,PlayStation VR,28.81258593,2,1
84,37,Female,PlayStation VR,57.97592199,8,3
88,33,Female,PlayStation VR,50.59485755,9,2
89,42,Female,PlayStation VR,36.97239644,2,4
92,43,Female,HTC Vive,31.43479161,1,4
95,55,Female,PlayStation VR,42.98374608,7,1
97,49,Female,Oculus Rift,39.50616333,8,1
98,47,Female,PlayStation VR,15.52703652,8,1
100,37,Female,PlayStation VR,35.44494882,8,5
109,39,Female,Oculus Rift,39.98129769,1,1
113,39,Female,PlayStation VR,27.20456465,4,5
115,37,Female,PlayStation VR,12.78444748,6,1
116,46,Female,Oculus Rift,31.17339558,1,4
118,59,Female,HTC Vive,5.503272093,10,1
121,60,Female,HTC Vive,7.382727555,10,1
122,33,Female,HTC Vive,55.24004124,8,3
123,40,Female,Oculus Rift,51.74333679,3,3
125,18,Female,PlayStation VR,23.44119116,10,4
130,26,Female,HTC Vive,56.38556962,2,1
134,21,Female,PlayStation VR,17.66921493,9,5
137,39,Female,HTC Vive,43.6933355,10,2
139,42,Female,Oculus Rift,7.077381749,5,5
149,20,Female,HTC Vive,45.23560484,2,4
152,49,Female,Oculus Rift,22.53210125,10,3
155,43,Female,HTC Vive,9.018878246,4,5
156,35,Female,Oculus Rift,11.30840123,10,3
157,55,Female,HTC Vive,32.13185179,5,5
159,55,Female,PlayStation VR,32.41566195,10,1
160,60,Female,PlayStation VR,59.03127087,6,3
164,25,Female,Oculus Rift,38.97160866,1,3
166,39,Female,PlayStation VR,8.69302739,2,4
168,48,Female,Oculus Rift,9.941461762,1,5
171,24,Female,HTC Vive,41.14135691,5,1
174,58,Female,Oculus Rift,37.10847411,2,1
175,48,Female,Oculus Rift,33.08303161,9,2
177,55,Female,HTC Vive,20.85454578,3,2
179,31,Female,HTC Vive,25.12563114,9,1
180,27,Female,HTC Vive,6.335489106,9,3
184,26,Female,PlayStation VR,51.68361916,4,2
186,55,Female,PlayStation VR,35.80517132,10,3
188,29,Female,HTC Vive,26.22238798,1,3
189,28,Female,Oculus Rift,46.05254742,1,2
192,29,Female,Oculus Rift,52.66661157,2,3
193,55,Female,PlayStation VR,59.1731172,4,1
194,41,Female,PlayStation VR,42.89614868,3,3
203,32,Female,HTC Vive,42.38396228,7,1
208,41,Female,HTC Vive,28.23389996,4,5
212,24,Female,PlayStation VR,26.76990493,8,5
213,53,Female,Oculus Rift,32.22221427,10,2
215,56,Female,HTC Vive,5.925511277,10,1
220,42,Female,HTC Vive,58.6789654,9,2
221,29,Female,PlayStation VR,32.43400932,2,4
226,20,Female,Oculus Rift,44.21489733,7,4
227,30,Female,Oculus Rift,24.55458663,4,5
228,19,Female,PlayStation VR,12.26967957,1,3
230,47,Female,PlayStation VR,43.91145113,4,4
240,52,Female,Oculus Rift,28.35404616,5,2
242,47,Female,PlayStation VR,18.26953024,6,4
257,32,Female,HTC Vive,41.19548707,2,1
258,56,Female,Oculus Rift,58.46483802,4,4
259,49,Female,HTC Vive,26.05533812,10,2
260,38,Female,HTC Vive,5.347581525,10,1
261,59,Female,Oculus Rift,15.89244006,4,3
264,32,Female,Oculus Rift,7.233043571,9,5
269,42,Female,Oculus Rift,42.6329927,10,1
272,29,Female,Oculus Rift,43.22221063,10,3
273,25,Female,HTC Vive,36.34226671,7,1
275,33,Female,HTC Vive,28.25543202,1,3
276,38,Female,PlayStation VR,35.99046476,5,1
283,47,Female,Oculus Rift,31.40139959,7,4
284,40,Female,Oculus Rift,59.73389531,9,4
289,23,Female,PlayStation VR,40.94482899,2,1
291,31,Female,Oculus Rift,7.49551914,8,5
295,40,Female,Oculus Rift,45.27820205,3,4
299,31,Female,Oculus Rift,22.84346316,9,4
302,27,Female,HTC Vive,42.75459163,10,2
305,55,Female,HTC Vive,20.62173113,6,3
309,37,Female,Oculus Rift,25.22755185,1,3
313,29,Female,Oculus Rift,6.216317576,7,4
316,38,Female,HTC Vive,28.49336865,8,1
318,50,Female,PlayStation VR,52.91507713,1,2
320,25,Female,HTC Vive,45.32232955,5,4
323,28,Female,Oculus Rift,39.13319155,10,2
324,55,Female,HTC Vive,42.40765747,10,1
325,31,Female,PlayStation VR,16.05403376,6,2
328,34,Female,PlayStation VR,44.53550336,8,3
331,38,Female,Oculus Rift,5.203759646,7,1
332,19,Female,PlayStation VR,47.81088016,3,4
344,46,Female,HTC Vive,13.79470497,4,2
350,49,Female,HTC Vive,28.1056051,10,3
351,20,Female,PlayStation VR,28.12306437,5,2
354,53,Female,Oculus Rift,31.28611853,10,1
355,18,Female,Oculus Rift,25.34609869,1,1
361,24,Female,HTC Vive,20.43509763,9,2
366,27,Female,Oculus Rift,25.71747501,4,3
368,26,Female,HTC Vive,26.88906749,8,5
374,54,Female,Oculus Rift,19.09858809,4,3
380,57,Female,HTC Vive,52.09396951,9,5
389,30,Female,Oculus Rift,15.61502624,6,3
398,42,Female,HTC Vive,50.53527618,3,3
399,54,Female,PlayStation VR,28.55663154,7,2
404,20,Female,Oculus Rift,17.41804672,5,2
407,39,Female,HTC Vive,43.31037715,6,5
411,29,Female,HTC Vive,8.652689074,2,1
416,40,Female,PlayStation VR,58.20883723,2,4
419,56,Female,Oculus Rift,42.22298288,3,1
421,44,Female,HTC Vive,25.45788941,5,1
424,41,Female,Oculus Rift,38.95779667,1,2
425,53,Female,Oculus Rift,52.57013787,10,1
